purpose,role,flop,probe_file,preflop,flop_actions_pre,action_type,action_name,betsize,betsize_by_pot,is_allin,total_frequency,total_ev,total_combos
boundary_or_bb_oop,BB,ks9d4c,bound_ks9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9586,0.0,1127.3257083892822
boundary_or_bb_oop,BB,ks9d4c,bound_ks9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0414,0.0,48.67426970601082
boundary_or_bb_oop,BB,kskd4c,bound_kskd4c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9767,0.0,1148.6435794830322
boundary_or_bb_oop,BB,kskd4c,bound_kskd4c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0233,0.0,27.356394231319427
boundary_or_bb_oop,BB,kskd4c,bound_kskd4c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9767,0.0,1148.6435794830322
boundary_or_bb_oop,BB,kskd4c,bound_kskd4c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0233,0.0,27.356394231319427
boundary_or_bb_oop,BB,kskd9c,bound_kskd9c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9838,0.0,1156.9229278564453
boundary_or_bb_oop,BB,kskd9c,bound_kskd9c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0162,0.0,19.077067762613297
boundary_or_bb_oop,BB,kskd9c,bound_kskd9c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9838,0.0,1156.9229278564453
boundary_or_bb_oop,BB,kskd9c,bound_kskd9c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0162,0.0,19.077067762613297
