equity_bucket,mv_simple,board_family,dv_cat,median,count,q25,q75,iqr,pred_3,confidence
trash_hands,third_pair,monotone,gutshot,0.0007,30,0.0007,0.2205,0.2198,LOW,MED
trash_hands,third_pair,monotone,no_draw,0.0003,962,0.0001,0.0016,0.0015,LOW,HIGH
trash_hands,third_pair,paired,no_draw,0.0001,443,0.0,0.0003,0.0003,LOW,HIGH
trash_hands,top_pair,dry_high,no_draw,0.05605,438,0.001025,0.7357750000000001,0.73475,LOW,LOW
trash_hands,top_pair,dynamic,gutshot,0.0576,38,0.0001,0.795625,0.795525,LOW,LOW
trash_hands,top_pair,dynamic,no_draw,0.3749,437,0.0001,0.9879,0.9878,MIX,LOW
trash_hands,top_pair,dynamic,twocards_bdfd,0.04395,36,0.01135,0.214175,0.202825,LOW,MED
trash_hands,top_pair,monotone,no_draw,0.0002,103,0.0001,0.0003,0.00019999999999999998,LOW,HIGH
trash_hands,top_pair,paired,no_draw,0.0001,46,0.0001,0.0001,0.0,LOW,HIGH
trash_hands,weak_pair,dry_high,gutshot,0.0007,212,0.0001,0.38215,0.38205,LOW,LOW
trash_hands,weak_pair,dry_high,no_draw,0.0005,5430,0.0001,0.0346,0.034499999999999996,LOW,HIGH
