spot_id,n,primary_size_pot,board_family,street,family,low_bet_freq,mid_bet_freq,high_bet_freq,polar_score,linear_score,spot_type,size_bucket
K98r_T,3482,4.569,dry_high,turn,,0.00020583524027459956,0.0016648981823966908,0.0005869115958668197,-0.0014590629421220912,0.00038107635559222016,linear,big (≥85%)
KJT_2,2673,1.846,dynamic,turn,,0.00015186846038863974,0.00015407765770294045,0.00046332335329341316,-2.2091973143007002e-06,0.0003114548929047734,linear,big (≥85%)
KJT_9,3475,0.202,dynamic,turn,,0.05747187141216992,0.11223912599195277,0.1571856156501726,-0.05476725457978285,0.0997137442380027,linear,small (≤45%)
KJT_A,2648,1.846,dynamic,turn,,0.0005917168674698795,0.0009671315114895175,0.0016652567975830816,-0.000375414644019638,0.001073539930113202,linear,big (≥85%)
KJT_K,3472,0.202,dynamic,turn,,0.08089299655568313,0.2179391378093285,0.13496497695852536,-0.13704614125364536,0.054071980402842224,linear,small (≤45%)
KJT_Q,3474,0.202,dynamic,turn,,0.22637928653624856,0.12456353686635946,0.15978032220943614,0.1018157496698891,-0.06659896432681242,polarized,small (≤45%)
Q83_2,3532,1.694,dry_high,turn,,0.0009928733031674209,0.0003810066460881043,0.009900679501698754,0.0006118666570793165,0.008907806198531334,linear,big (≥85%)
Q83_8,3509,0.201,dry_high,turn,,0.06725387243735763,0.1319356898517674,0.12064868871151653,-0.06468181741440977,0.0533948162741589,linear,small (≤45%)
Q83_A,3491,1.694,dry_high,turn,,0.00044125714285714286,0.00022026564425578528,0.004258304696449026,0.00022099149860135757,0.0038170475535918833,linear,big (≥85%)
Q83_K,3498,1.694,dry_high,turn,,0.0001744,0.00023163615560640733,0.0006370285714285714,-5.723615560640732e-05,0.00046262857142857143,linear,big (≥85%)
Q83_Q,3496,0.201,dry_high,turn,,0.1654525171624714,0.03229422196796339,0.056491647597254,0.133158295194508,-0.10896086956521739,polarized,small (≤45%)
SB_BB_742_fd,3072,0.981,low_dry,flop,,0.15911287386215864,0.132377873107695,0.23308148631029987,0.02673500075446364,0.07396861244814124,linear,big (≥85%)
SB_BB_742_rain,3072,0.981,low_dry,flop,,0.17536393229166666,0.12789466145833334,0.309739453125,0.04746927083333333,0.13437552083333335,linear,big (≥85%)
SB_BB_765_fd,3052,0.981,dynamic_2tone,flop,,0.1380056356487549,0.15756965923984273,0.23301310615989512,-0.01956402359108783,0.09500747051114022,linear,big (≥85%)
SB_BB_765_rain,3051,0.981,dynamic,flop,,0.060825950196592406,0.11301933158584535,0.19198818897637793,-0.05219338138925294,0.13116223877978553,linear,big (≥85%)
SB_BB_A72_fd,3042,0.335,dry_high,flop,,0.2575671484888305,0.2381033552631579,0.27899658344283834,0.0194637932256726,0.021429434954007842,linear,small (≤45%)
SB_BB_A72_rain,3042,0.335,dry_high,flop,,0.3059258530183727,0.21495030415713196,0.24572969776609727,0.09097554886124076,-0.06019615525227545,linear,small (≤45%)
SB_BB_A94_fd,3033,0.335,dry_high,flop,,0.28297065789473685,0.2436665246616452,0.27116319261213717,0.03930413323309165,-0.011807465282599683,linear,small (≤45%)
SB_BB_A94_rain,3033,0.335,dry_high,flop,,0.33011343873517784,0.22473612655173975,0.25402443857331575,0.1053773121834381,-0.0760890001618621,polarized,small (≤45%)
SB_BB_AA7_rain,3004,0.335,paired,flop,,0.31350213049267645,0.31344904984842903,0.31843226666666663,5.308064424741632e-05,0.004930136173990185,linear,small (≤45%)
SB_BB_J73_fd,3056,0.981,dry_high,flop,,0.13047159685863874,0.1594687282741843,0.2067770942408377,-0.028997131415545552,0.07630549738219897,linear,big (≥85%)
SB_BB_J73_rain,3055,0.335,dry_high,flop,,0.18113900523560209,0.21279334652515441,0.2876495412844037,-0.03165434128955233,0.10651053604880159,linear,small (≤45%)
SB_BB_K72_fd,3051,0.335,dry_high,flop,,0.17889095674967234,0.1567814563837243,0.17710997375328083,0.022109500365948054,-0.0017809829963915114,linear,small (≤45%)
SB_BB_K72_rain,3051,0.335,dry_high,flop,,0.21071900393184798,0.21597608125819134,0.2653001312335958,-0.005257077326343368,0.05458112730174783,linear,small (≤45%)
SB_BB_K98_fd,3029,0.981,dry_high,flop,,0.11165981554677205,0.13098107278971396,0.15108637566137567,-0.01932125724294191,0.03942656011460362,linear,big (≥85%)
SB_BB_K98_rain,3029,0.981,dry_high,flop,,0.1297304347826087,0.12281003963011888,0.2088873015873016,0.006920395152489822,0.07915686680469289,linear,big (≥85%)
